114	117,118,3,4,66,39,40,107,108,109,110,111,112,113,115,116
116	3,4,61,66,39,40,107,108,109,110,111,112,113,114,115,87,119
432	383,366,430,431,434,10,455,485
85	87,26,28,35,80,81,82,83,84,86
50	36,70,122
93	53,55,88,91,92,73,103
87	61,116,119,85
400	377,333,401,396,397,398,399,402,403,119,404,405,406,407,408
464	460,462,463,1803,1947
2101	2046,1719,2096,2097,2098,2099,2100,1604,2132,2133,2134,2135
2058	1723,2053,2054,2055,2056,2057,2059,2132,2136
1773	1793,1795,1772,1774,1794,1790,1791,1792
1774	2696,2697,2304,1772,1773,2614
3007	3130,3153,3154,3155,2579,3005,3006
