114	272,1,37,71,72,73,74,75,76,77,78,79,80,81,19
116	1,33,37,71,72,73,74,75,76,77,78,79,80,81,282,19,53
432	270,302,303,305,4,261,320,357,358
85	53,13,14,47,48,17,50,51,52,85,49,81
50	24,90,40,18,85
93	56,57,27,29,61,65,66,41,54
87	33,71,282,47,81,53
400	265,242,306,277,278,279,280,281,282,283,284,285,286,287,312,81
464	328,329,330,1131,1332,1206,325
2101	1260,1304,1305,1307,1308,1053,1342,1309,1343,1088,1345,1347,1310,1346
2058	1272,1273,1305,1402,1342,1343,1279,1089,1344
1773	1130,1426,1112,1113,1607,1151,1125,1126,1128,1129
1774	1608,1739,1455,1112,1113,1567,1125,1607
3007	1937,1938,1939,1844,1845,1915,1558,1953
