"mean","median"
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
3.04452988308951,0.363877149598607
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
3.26397674477598,0.874973931040241
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.93917007899516,0.122213262017168
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
3.88454309954396,2.11608775337886
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
3.77317592484773,1.90918830920368
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
3.4716712748373,1.31733993335054
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
3.30019589147496,0.954594154601848
2.90564513733037,1.08080211447259e-13
2.90564513733037,1.08080211447259e-13
